frame,bass,low_mid,mid,high_mid,high,beat,energy
344,0.141197,0.063415,0.030897,0.015929,0.001218,0.0,0.145289
345,0.124673,0.070523,0.056818,0.00939,0.001428,0.0,0.12976
346,0.137588,0.054975,0.047958,0.013928,0.001913,0.0,0.141307
347,0.140116,0.048344,0.047268,0.017135,0.000777,0.0,0.143319
348,0.119818,0.040509,0.051234,0.013733,0.001178,0.0,0.12264
349,0.118879,0.052326,0.03316,0.01633,0.001059,0.0,0.122347
350,0.131309,0.061677,0.044505,0.014775,0.001368,0.0,0.135529
351,0.151425,0.042458,0.0573,0.021172,0.00175,0.0,0.154247
352,0.130816,0.069789,0.054457,0.025042,0.001559,0.0,0.135797
353,0.122327,0.053285,0.064732,0.014553,0.000987,0.0,0.126266
354,0.133621,0.049208,0.064986,0.015347,0.00168,0.0,0.137175
355,0.134394,0.038602,0.05909,0.016571,0.001949,0.0,0.137074
356,0.122246,0.052252,0.081257,0.015618,0.001832,0.0,0.126335
357,0.127026,0.057866,0.063783,0.02489,0.00197,0.0,0.131275
358,0.141096,0.053117,0.056,0.010404,0.001629,0.0,0.144753
359,0.128,0.049248,0.048306,0.021526,0.002346,0.0,0.131384
360,0.146239,0.057842,0.055427,0.021779,0.00234,0.0,0.150221
361,0.135018,0.041845,0.060406,0.01911,0.001699,0.0,0.137957
362,0.129048,0.04484,0.049863,0.01722,0.002083,0.0,0.13211
363,0.12579,0.038468,0.065401,0.0089,0.001501,0.0,0.128598
364,0.125799,0.055422,0.060211,0.015417,0.001332,0.0,0.12981
365,0.123793,0.048081,0.058747,0.012411,0.002224,0.0,0.127248
366,0.142022,0.045113,0.056488,0.01685,0.002123,0.0,0.145094
367,0.167192,0.052198,0.056838,0.011532,0.002519,0.0,0.170596
368,0.156896,0.030923,0.063611,0.007309,0.003254,0.0,0.158879
369,0.142637,0.052698,0.062548,0.008085,0.001079,0.0,0.146336
370,0.159551,0.048764,0.042138,0.009376,0.001606,0.0,0.162553
371,0.141447,0.047943,0.051142,0.011483,0.001292,0.0,0.144652
372,0.12624,0.033399,0.049437,0.014834,0.001097,0.0,0.128462
373,0.12164,0.027943,0.062458,0.015398,0.002625,0.0,0.123669
374,0.137541,0.026063,0.068529,0.015558,0.002051,0.0,0.139391
375,0.13464,0.032414,0.056563,0.014613,0.002289,0.0,0.13682
376,0.140646,0.021665,0.060807,0.018335,0.003034,0.0,0.142045
377,0.152199,0.019364,0.056529,0.012707,0.001731,0.0,0.153271
378,0.136508,0.026641,0.049545,0.011954,0.002713,0.0,0.138145
379,0.123555,0.040983,0.072526,0.019514,0.00478,0.0,0.126684
